Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
1,1,26,1,1,1142,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0,2
1,1,52,1,1,2035,4,3,4,4,5,5,5,5,5,5,5,4,5,4,4,0,2
1,2,24,1,2,1182,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0,1
1,1,12,2,3,308,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0,1
2,1,53,1,2,834,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8,1
2,1,33,2,2,946,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0,2
1,1,26,2,2,453,3,2,3,2,2,3,2,2,4,3,2,2,1,2,43,35,1
1,1,26,1,1,2123,3,3,3,3,4,4,4,4,5,3,4,5,4,4,49,51,2
2,1,41,1,1,2075,4,4,2,4,4,4,4,5,5,5,5,3,5,5,0,10,2
2,1,9,1,2,1174,2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,4,1
1,1,17,2,2,208,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0,1
1,2,23,1,2,452,5,0,5,1,1,5,1,1,4,5,5,3,5,1,54,44,2
1,1,33,1,1,1561,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0,2
1,1,49,1,3,315,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8,2
1,1,36,1,1,3347,3,1,1,1,1,2,1,3,3,3,3,2,3,2,18,12,1
2,1,22,2,2,2342,3,2,3,3,3,3,1,3,2,4,3,4,2,3,19,0,1
1,2,15,1,2,1043,2,2,2,3,5,2,5,5,3,1,4,2,4,5,3,0,1
1,1,35,1,1,2611,4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120,2
2,2,37,1,1,1182,3,3,3,4,1,3,1,1,4,1,3,1,4,1,9,0,1
1,1,40,1,2,349,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1,1
1,2,34,1,1,883,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0,1
2,1,40,2,3,550,4,3,4,2,2,4,2,2,5,1,4,3,4,2,23,20,1
1,1,38,1,1,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0,2
1,1,22,2,1,349,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0,1
1,1,13,1,1,1522,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0,1
2,1,54,1,1,612,3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0,2
